Index,ID,Name,Brand,Colours,Price($),Gender,Currency,Date
98,AVpfAm1o1cnluZ0-b5Vp,El Naturalista Mens N901 Recyclus El Walking Shoes,El Naturalista,Black,160.99,Men's,USD,2016-11-05
99,AVpe5bqdilAPnD_xQWdR,Justin Boots Aged Bark Men  Round Toe Leather Brown Work Boot,Justin Boots,Brown,160.98,Men's,USD,2016-11-11
100,AVpfsJOP1cnluZ0-pduf,Shoes For Crews 8300w Boots,SHOES FOR CREWS,Brown,160.72,Men's,USD,2017-01-11
101,AVpfgFKEilAPnD_xc3vh,Shoes For Crews 8300 Boots,SHOES FOR CREWS,Brown,160.72,Men's,USD,2017-01-11
102,AVpfbcoQilAPnD_xbngU,Woolrich  Men Lane Chukka Boots,Woolrich,Camel,160.0,Men's,USD,2017-01-16
103,AVpe4QOCLJeJML43xUwZ,Dexter Sst 6 Lz Wide Bowling Shoes,Dexter,BlackAlloy,159.99,Men's,USD,2016-01-16
104,AVpfXHJY1cnluZ0-jXw5,Rocky Work Boots Mens 8 Elements Dirt Waterproof St Brown Rkyk076,Rocky,Brown,159.99,Men's,USD,2016-03-22
105,AVpfhZqTLJeJML43-tIo,Rocky Work Boots Mens 10 Elements Block Waterproof Pull Brown Rkyk093,Rocky,Brown,159.99,Men's,USD,2016-03-22
106,AVpfnZqdilAPnD_xfEUn,Jordan Air Jordan 2 Retro Low Men  Round Toe Synthetic Red Fashion Sneakers,Air Jordan,Red,159.99,Men's,USD,2016-11-05
107,AVpfX4wILJeJML438EOv,"Chippewa 8 Redwood Logger S/t Men  Steel Toe Leather Brown Work Boot""",Chippewa,Redwood,159.99,Men's,USD,2016-10-04
108,AVpfFdzBLJeJML432ERh,Vionic With Orthaheel Technology Vionic Roth Men's Lace-up Dress Orthotic Shoe,Vionic with Orthaheel Technology,Beige,159.95,Men's,USD,2016-03-29
109,AVpfK_BgilAPnD_xWdzd,Bates Men Defender 8' Waterproof Boots,Bates,Black,159.95,Men's,USD,2016-11-05
110,AVpe9d7XilAPnD_xR08-,New Mens Sz 7 Nike Mercurial Vapor Ix Fg Yellow Fade Orange Soccer Cleats Boots,Nike,Yellow,159.92,Men's,USD,2016-02-27
111,AVpfCgvhilAPnD_xTnKh,Nike Flyknit Max Running Men's Shoes Size,Nike,BlackSailAtomic OrangeVolt,155.36,Men's,USD,2017-01-11
112,AVpe6hNq1cnluZ0-Ztgr,"Georgia Boot G4274-075m Work Boots, Mens, Brown, Size 7-1/2",Georgia Boot,Brown,154.99,Men's,USD,2017-01-11
113,AVpe5lb31cnluZ0-ZXCs,Rocky Work Boots Mens 6 Elements Dirt Waterproof St Brown Rkyk074,Rocky,Brown,154.99,Men's,USD,2016-03-22
