Index,ID,Name,Brand,Colours,Gender,Price($),Currency,Date
141,AWo0gnIm0U_gzG0hezSX,Women's A2 by Aerosoles Quick Role Knee High Boot,Aerosoles,White,Women's,175.98,USD,2019-04-27
142,AWpIUAGKAGTnQPR7tEa4,Women's Vionic with Orthaheel Technology Ashby Loafer,Vionic,White,Women's,175.3,USD,2019-04-23
143,AWo5trUhJbEilcB6NNUh,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
144,AWo5o2caM263mwCq6r2D,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
145,AWo5tOYOAGTnQPR7r6SZ,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
146,AWo5sjddJbEilcB6NM-e,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
147,AWozsRTPJbEilcB6MDqH,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
148,AWo5pNdHM263mwCq6sDT,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
149,AWozvEUoAGTnQPR7qyDd,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
150,AWozwVwsJbEilcB6ME4t,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
151,AWozscLRAGTnQPR7qxQR,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
152,AWoztWCEAGTnQPR7qxhg,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
153,AWozx4AT0U_gzG0helqe,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
154,AWozwuagAGTnQPR7qydr,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
155,AWozwyu9AGTnQPR7qyeT,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
156,AWozul2BAGTnQPR7qx6n,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
157,AWozszJv0U_gzG0hekVZ,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
158,AWozsZWA0U_gzG0hekMT,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
159,AWozvq4z0U_gzG0helNA,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
160,AWozyABCM263mwCq5mTx,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
161,AWpYhMFm0U_gzG0hh3pP,Diba Women's West Haven Slouch Boot,Diba,Brown,Women's,174.95,USD,2019-04-30
162,AWozwGbj0U_gzG0helVa,"Women's SAS, Walk Easy Lace up Shoes",SAS,BEIGE,Women's,174.95,USD,2019-04-19
